名称    连续涨停    开板数    涨停属性    涨停原因    
置信电气    8    0    控股股东变更    并购重组-公司拟与国网英大国际控股集团旗下信托、证券、期货业务相关资产进行资产重组    
辉丰股份    5    17    农药    盐城决定彻底关闭响水化工园区，50个化工园区压减至20个左右。全球咪鲜胺龙头，咪鲜胺（杀菌剂）产能0.68万吨，产量全球第一。    
东方能源    4    0    拟收购    并购重组-147.5亿收购国家电投集团资本控股，并通过资本控股持有国家电投财务24%股权、国家电投保险经纪100%股权、百瑞信托50.24%股权、先融期货44.20%股份、永诚保险6.57%股份    
方盛制药    4    0    工业大麻    多家公司公告新进布局工业大麻；大盘弱势时板块易受追捧。与云南会泽县政府签署合作框架协议，计划在未来8年分期投资10亿元，在会泽建立中药材、工业大麻种植基地和深加工基地。    
中国船舶    4    0    资产置换    两只国资基金将设立，混改或提速。中国船舶工业集团旗下，公告中船防务拟以其持有的“广船国际”部分股权及“黄埔文冲”部分股权作为置出资产，与中船集团持有的“中船动力”“动力研究院”51%股权、“中船三井”15%股权及“沪东重机”股权进行置换。    
渝 开 发    4    7    成渝城市群    媒体称长三角区域将诞生新的自贸区。重庆地产龙头之一。    
仁智股份    3    0    拟借壳    并购重组- 科元精化作价103亿元借壳，标的主营以燃料油深加工为主的高端精细化工业务    
保税科技    2    0    长三角+物流    媒体称长三角区域将诞生新的自贸区。地处江苏，主营液体化工品的码头装卸及保税仓储业务。    
东风科技    2    0    汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。两只国资基金将设立，混改或提速。华为汽车将亮相上海车展。东风汽车旗下，主营汽车零部件研发、制造、销售东风集团旗下唯一汽车零部件，汽车电子资产上市平台。    
江淮汽车    2    0    汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。未否认大众收购传言；综合性汽车厂商，主要产品为整车和客车；蔚来汽车首款量产车SUV ES8将由江淮汽车完成生产，预计一期工厂能达到年产10万辆。    
联环药业    2    0    超级真菌    此前公告公司生产黏菌素能治超级细菌    
四环生物    2    0    超级真菌    主营为药品、保健品、抗生素制剂，此外拥有重组人粒细胞刺激因子注射液欣粒生等   天瑞仪器    2    0    工业大麻    多家公司公告新进布局工业大麻；大盘弱势时板块易受追捧。响水爆炸事件有望推动透明工厂建设。在互动平台称，公司产品GC-MS 6800可以检测部分大麻类化合物；公司的产品不断进入环境监测与检测、食品安全检测以及医学检测领域。    
万林物流    2    0    物流    媒体称长三角区域将诞生新的自贸区。地处江苏，木材进口综合物流龙头，为国内木材行业企业提供包括进口代理。    
兴民智通    2    0    工业大麻    多家公司公告新进布局工业大麻；大盘弱势时板块易受追捧。与暾澜投资、昭通天麻签署了《战略合作框架协议》，拟共同投资设立一家合资公司，从事工业大麻种植及下游产品研发生产等相关业务。    
一汽夏利    2    2    并购重组    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。筹划与国内新能源汽车企业合作。    
东方电气    2    0    燃料电池    新能源车补贴转向充电及加氢设施。由东方电气(成都)氢燃料电池科技有限公司投资建设的氢燃料电池自动化生产线正式投入使用，这是中国西部首条氢燃料电池自动化生产线。    
兴齐眼药    2    0    业绩预增    超级真菌在美国多地爆发。主要产品是眼科处方药物，包括眼用抗感染药、眼用抗炎/抗感染药、眼用非类固醇消炎药、缩瞳药和抗青光眼用药等，覆盖十个眼科药物细分类别。    
瑞普生物    2    2    业绩预增    禽疫苗龙头，一季报预告净利润同比增长10%至20%；业务包括疫苗、治疗用生物制品、诊断制品等；国内少数几家覆盖禽畜疫病预防、诊断、治疗、保健的兽药企业之一    
南 京 港    2    24    长三角    媒体称长三角区域将诞生新的自贸区。属长三角经济区，实控人为南京市国资委旗下的南京港集团。    
苏州高新    2    23    长三角    媒体称长三角区域将诞生新的自贸区。苏州高科技园区龙头，主要涉及特色小镇、旅游地产及住宅开发。


    
【国改】    
置信电气    8    0    国改+并购重组    并购重组-公司拟与国网英大国际控股集团旗下信托、证券、期货业务相关资产进行资产重组    
中国船舶    4    0    国改    两只国资基金将设立，混改或提速。中国船舶工业集团旗下，公告中船防务拟以其持有的“广船国际”部分股权及“黄埔文冲”部分股权作为置出资产，与中船集团持有的“中船动力”“动力研究院”51%股权、“中船三井”15%股权及“沪东重机”股权进行置换。    
东方能源    4    0    国改+拟收购    并购重组-147.5亿收购国家电投集团资本控股，并通过资本控股持有国家电投财务24%股权、国家电投保险经纪100%股权、百瑞信托50.24%股权、先融期货44.20%股份、永诚保险6.57%股份    
渝 开 发    4    7    国改+成渝城市群    媒体称长三角区域将诞生新的自贸区。重庆地产龙头之一。    
四环生物    2    0    国改+超级真菌    主营为药品、保健品、抗生素制剂，此外拥有重组人粒细胞刺激因子注射液欣粒生等    
东风科技    2    0    国改+汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。两只国资基金将设立，混改或提速。华为汽车将亮相上海车展。东风汽车旗下，主营汽车零部件研发、制造、销售东风集团旗下唯一汽车零部件，汽车电子资产上市平台。    
江淮汽车    2    0    国改+汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。未否认大众收购传言；综合性汽车厂商，主要产品为整车和客车；蔚来汽车首款量产车SUV ES8将由江淮汽车完成生产，预计一期工厂能达到年产10万辆。    
