名称    连续涨停    开板数    涨停属性    涨停原因    
兴齐眼药    5    0    业绩预增    主要产品是眼科处方药物，包括眼用抗感染药、眼用抗炎/抗感染药、眼用非类固醇消炎药、缩瞳药和抗青光眼用药等，覆盖十个眼科药物细分类别    
红阳能源    5    1    氢燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。间接参股深圳过氢，标的主营氢燃料电池技术研究、动力系统研发及产业化，拥有自主创新核心技术的国家高新技术企业，在深圳设立了氢燃料电池研究院。
春兴精工    5    3    业绩扭亏    一带一路海底光缆建设或加速推进。公司储备了5G射频器件方面的技术研发，在5G产品预研和储备方面处于行业领先地位；滤波器射频器件已进入华为供应链体系。
力帆股份    5    12    氢能源    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。公司牵手武汉泰歌进军氢动力汽车，最快年内推出样车。
岳阳林纸    4    1    工业大麻    多家公司密集披露布局工业大麻。与中国农业科学院麻类研究所签署技术服务合同，拟委托中国农业科学院麻类研究所先行实施开展红麻和工业大麻的示范性种植，参与工业大麻产业链分工。
中钢天源    4    6    氢能源    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。与关联方共同投资“氢燃料电池石墨双极板材料”项目。
诺 普 信    3    0    农药    多家公司密集披露布局工业大麻。19年4月，公司拟以股权转让方式受让云南诚邦富吉持有的云南华云金鑫52.94%股权，布局工业大麻产业链。
莱茵生物    3    1    工业大麻    多家公司密集披露布局工业大麻。子公司与美国科罗拉多州的一家工业大麻种植公司签工业大麻原料订购合同，预计合同金额为360万美元。
美都能源    2    0    石墨烯    石墨烯低价制氢技术获突破。黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。旗下美都墨烯已有一种石墨烯复合电极材料及制备方法获得了专利权。
澄星股份    2    0    磷化工    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。黑磷新材料成太阳能制氢催化剂；公司是国内磷酸龙头，由下游精细磷化工行业起步，沿产业链向上游纵深发展。
山鼎设计    2    0    并购重组    并购重组-21.47亿收购赛普健身股份    
深大通    2    4    工业大麻    多家公司密集披露布局工业大麻。拟与北京天益新麻生物科技共同成立大通-新麻合伙企业，主要投资工业大麻的全产业链整合及拓展等，并将就区块链与工业大麻业务场景的切入和深度结合进行探索。
厚普股份    2    0    氢能源    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。公司拟与法国液化空气集团共同投资在成都设立一家从事氢燃料电池电动车加氢站的开发、生产及销售的合资公司。
富通鑫茂    2    3    5G    一带一路海底光缆建设或加速推进。消息称此次一带一路峰会将推动海底光缆建设。主营匹配包层单模光纤、通信用低水峰单模光纤，通信用光缆等，占总收入的8成以上；参股区块链独角兽嘉楠耘智。
国际实业    2    4    业绩扭亏    “一带一路”国际合作高峰论坛4月25日至27日举行。地处新疆，主营油品批发、零售、仓储、运输；能源贸易；参股的万家基金已向中国证监会申请设立两只科创板产品和三只科创主题类基金产品，目前尚在审批中。
奥马电器    2    3    大消费    发改委内部征求意见拟推动家电更新消费。公司为国内冰箱小龙头；与同济大学成立了金融科技联合实验室，主要研究方向为区块链技术在金融产业的应用。
红相股份    2    0    军工    我国首艘国产航母近日进行第五次海试。公司是国内较早涉足电力设备状态检测、监测行业的企业之一；控股子公司星波通信专业从事射频/微波器件、组件、子系统及其混合集成电路模块。
德威新材    2    2    燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。分别投资1000万美元，获得美国燃料电池公司55%的股权、美国混动10%的股权，标的主营为燃料电池商用巴士和卡车动力系统和牵引系统总成及其核心组件的研发和生产。福安药业    2    1    工业大麻    多家公司密集披露布局工业大麻。与Red Realty LLC、Golden Way Investor   山推股份    2    3    机械    “一带一路”国际合作高峰论坛4月25日至27日举行。公司为全球建设机械制造商50强，主要产品有铲土运输机械、挖掘机械、混凝土机械等。
幸福蓝海    2    1    影视    《复仇者联盟4》的预售票房突破4亿元 。江苏广电控股的上市公司，业务包括院线发行、影视剧制作等，旗下幸福蓝海院线目前拥有249家影城1516张银幕。
  


【氢能源】    
红阳能源    5    1    氢燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。间接参股深圳过氢，标的主营氢燃料电池技术研究、动力系统研发及产业化，拥有自主创新核心技术的国家高新技术企业，在深圳设立了氢燃料电池研究院。
力帆股份    5    12    氢能源    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。公司牵手武汉泰歌进军氢动力汽车，最快年内推出样车。
中钢天源    4    6    氢能源    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。与关联方共同投资“氢燃料电池石墨双极板材料”项目。
澄星股份    2    0    氢能源+磷化工    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。黑磷新材料成太阳能制氢催化剂；公司是国内磷酸龙头，由下游精细磷化工行业起步，沿产业链向上游纵深发展。
厚普股份    2    0    氢能源    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。公司拟与法国液化空气集团共同投资在成都设立一家从事氢燃料电池电动车加氢站的开发、生产及销售的合资公司。
德威新材    2    2    燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。分别投资1000万美元，获得美国燃料电池公司55%的股权、美国混动10%的股权，标的主营为燃料电池商用巴士和卡车动力系统和牵引系统总成及其核心组件的研发和生产。
坚瑞沃能    1    0    燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。与江苏华控签署合作协议，拟共同投资2亿元设立安鼎新能源公司，主要经营范围涉及锂离子电池、锂聚合物电池、燃料电池等。
龙蟠科技    1    0    燃料电池    公司产品主要为汽车润滑油、发动机冷却液、柴油发动机尾气处理液    
中泰股份    1    1    燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。公司为深冷装备龙头，产品包括氢气分离装置，拥有氢气提纯核心技术，目前国内最大规模的煤合成气分离氢与一氧化碳制乙二醇项目的深冷工艺段均由公司提供。
亚星客车    1    0    氢能源    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。多款燃料电池产品入围工信部推荐目录。
成都路桥    1    0    氢能源    区域性路桥工程企业，业务集中在以四川省为中心的西南片区；从事公路工程、桥梁工程、隧道工程的施工
福田汽车    1    0    燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。中国品种最全、规模最大的商用车企业；第一个全球范围内真正实现氢燃料电池电动客车产业化、批量商业化开发运营的企业。
东旭光电    1    0    燃料电池    石墨烯低价制氢技术获突破。拥有石墨烯全产业链，公司石墨烯材料产业化应用走在行业前列，已经形成石墨烯基锂离子电池、石墨烯照明、石墨烯电热、石墨烯防腐涂料四大系列石墨烯材料产业化应用产品。
首航节能    1    1    氢能源    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。公司以估值3.98亿元对新研氢能源增资2.5亿元，持有不低于38.58%，标的目前已经开发出多款燃料电池产品。
全柴动力    1    2    燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。控股子公司元隽公司从事燃料电池电池、动力系统集成以及燃料电池的核心部件研发、生产和销售；元隽公司自主研发质子交换膜，质子交换膜是燃料电池的核心部件之一。
大洋电机    1    2    燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。公司收购巴拉德9.9%股份，标的是质子交换膜燃料电池技术领域中公认的全球领导者，主营燃料电池堆、模块和系统的设计开发等。
